name,label,dataset,full_path,speaker
angry\201-angry-liuchanhg.wav,angry,casia,CASIA\angry\201-angry-liuchanhg.wav,
angry\201-angry-wangzhe.wav,angry,casia,CASIA\angry\201-angry-wangzhe.wav,
angry\201-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\201-angry-zhaoquanyin.wav,
angry\201-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\201-angry-ZhaoZuoxiang.wav,
angry\202-angry-liuchanhg.wav,angry,casia,CASIA\angry\202-angry-liuchanhg.wav,
angry\202-angry-wangzhe.wav,angry,casia,CASIA\angry\202-angry-wangzhe.wav,
angry\202-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\202-angry-zhaoquanyin.wav,
angry\202-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\202-angry-ZhaoZuoxiang.wav,
angry\203-angry-liuchanhg.wav,angry,casia,CASIA\angry\203-angry-liuchanhg.wav,
angry\203-angry-wangzhe.wav,angry,casia,CASIA\angry\203-angry-wangzhe.wav,
angry\203-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\203-angry-zhaoquanyin.wav,
angry\203-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\203-angry-ZhaoZuoxiang.wav,
angry\204-angry-liuchanhg.wav,angry,casia,CASIA\angry\204-angry-liuchanhg.wav,
angry\204-angry-wangzhe.wav,angry,casia,CASIA\angry\204-angry-wangzhe.wav,
angry\204-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\204-angry-zhaoquanyin.wav,
angry\204-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\204-angry-ZhaoZuoxiang.wav,
angry\205-angry-liuchanhg.wav,angry,casia,CASIA\angry\205-angry-liuchanhg.wav,
angry\205-angry-wangzhe.wav,angry,casia,CASIA\angry\205-angry-wangzhe.wav,
angry\205-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\205-angry-zhaoquanyin.wav,
angry\205-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\205-angry-ZhaoZuoxiang.wav,
angry\206-angry-liuchanhg.wav,angry,casia,CASIA\angry\206-angry-liuchanhg.wav,
angry\206-angry-wangzhe.wav,angry,casia,CASIA\angry\206-angry-wangzhe.wav,
angry\206-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\206-angry-zhaoquanyin.wav,
angry\206-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\206-angry-ZhaoZuoxiang.wav,
angry\207-angry-liuchanhg.wav,angry,casia,CASIA\angry\207-angry-liuchanhg.wav,
angry\207-angry-wangzhe.wav,angry,casia,CASIA\angry\207-angry-wangzhe.wav,
angry\207-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\207-angry-zhaoquanyin.wav,
angry\207-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\207-angry-ZhaoZuoxiang.wav,
angry\208-angry-liuchanhg.wav,angry,casia,CASIA\angry\208-angry-liuchanhg.wav,
angry\208-angry-wangzhe.wav,angry,casia,CASIA\angry\208-angry-wangzhe.wav,
angry\208-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\208-angry-zhaoquanyin.wav,
angry\208-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\208-angry-ZhaoZuoxiang.wav,
angry\209-angry-liuchanhg.wav,angry,casia,CASIA\angry\209-angry-liuchanhg.wav,
angry\209-angry-wangzhe.wav,angry,casia,CASIA\angry\209-angry-wangzhe.wav,
angry\209-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\209-angry-zhaoquanyin.wav,
angry\209-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\209-angry-ZhaoZuoxiang.wav,
angry\210-angry-liuchanhg.wav,angry,casia,CASIA\angry\210-angry-liuchanhg.wav,
angry\210-angry-wangzhe.wav,angry,casia,CASIA\angry\210-angry-wangzhe.wav,
angry\210-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\210-angry-zhaoquanyin.wav,
angry\210-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\210-angry-ZhaoZuoxiang.wav,
angry\211-angry-liuchanhg.wav,angry,casia,CASIA\angry\211-angry-liuchanhg.wav,
angry\211-angry-wangzhe.wav,angry,casia,CASIA\angry\211-angry-wangzhe.wav,
angry\211-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\211-angry-zhaoquanyin.wav,
angry\211-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\211-angry-ZhaoZuoxiang.wav,
angry\212-angry-liuchanhg.wav,angry,casia,CASIA\angry\212-angry-liuchanhg.wav,
angry\212-angry-wangzhe.wav,angry,casia,CASIA\angry\212-angry-wangzhe.wav,
angry\212-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\212-angry-zhaoquanyin.wav,
angry\212-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\212-angry-ZhaoZuoxiang.wav,
angry\213-angry-liuchanhg.wav,angry,casia,CASIA\angry\213-angry-liuchanhg.wav,
angry\213-angry-wangzhe.wav,angry,casia,CASIA\angry\213-angry-wangzhe.wav,
angry\213-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\213-angry-zhaoquanyin.wav,
angry\213-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\213-angry-ZhaoZuoxiang.wav,
angry\214-angry-liuchanhg.wav,angry,casia,CASIA\angry\214-angry-liuchanhg.wav,
angry\214-angry-wangzhe.wav,angry,casia,CASIA\angry\214-angry-wangzhe.wav,
angry\214-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\214-angry-zhaoquanyin.wav,
angry\214-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\214-angry-ZhaoZuoxiang.wav,
angry\215-angry-liuchanhg.wav,angry,casia,CASIA\angry\215-angry-liuchanhg.wav,
angry\215-angry-wangzhe.wav,angry,casia,CASIA\angry\215-angry-wangzhe.wav,
angry\215-angry-zhaoquanyin.wav,angry,casia,CASIA\angry\215-angry-zhaoquanyin.wav,
angry\215-angry-ZhaoZuoxiang.wav,angry,casia,CASIA\angry\215-angry-ZhaoZuoxiang.wav,
angry\216-angry-liuchanhg.wav,angry,casia,CASIA\angry\216-angry-liuchanhg.wav,
angry\216-angry-wangzhe.wav,angry,casia,CASIA\angry\216-angry-wangzhe.wav,
